obsID,timelbl2,timelbl3,place
441,Day,Day,Mudflats_Territory
443,Day,Day,Mudflats_Territory
444,Day,Day,Territory
446,Day,Day,Mudflats_Territory
446,Day,Day,Mudflats_Territory
447,Day,Day,Mudflats_Territory
450,Day,Day,Territory
452,Day,Day,Mudflats_Territory
453,Day,Day,Mudflats_Territory
454,Day,Day,Mudflats_Territory
455,Day,Day,Mudflats_Territory
457,Day,Day,Mudflats_Territory
459,Day,Day,Mudflats_Territory
460,Day,Day,Mudflats_Territory
461,Day,Day,Mudflats_Territory
462,Day,Twilight,Mudflats_Territory
463,Day,Twilight,Mudflats_Territory
464,Day,Twilight,Mudflats_Territory
466,Day,Twilight,Mudflats_Territory
468,Night,Twilight,Mudflats_Territory
469,Night,Twilight,Mudflats_Territory
471,Night,Twilight,Mudflats_Territory
472,Night,Night,Mudflats_Territory
473,Night,Night,Mudflats_Territory
474,Night,Night,Mudflats_Territory
476,Night,Night,Mudflats_Territory
477,Night,Night,Mudflats_Territory
478,Night,Night,Mudflats_Territory
480,Night,Night,Mudflats_Territory
481,Night,Night,Mudflats_Territory
482,Night,Night,Mudflats_Territory
483,Night,Night,Mudflats_Territory
484,Night,Night,Mudflats_Territory
485,Night,Night,Mudflats_Territory
486,Night,Night,Mudflats_Territory
487,Night,Night,Mudflats_Territory
489,Night,Night,Mudflats_Territory
490,Night,Night,Mudflats_Territory
491,Night,Night,Mudflats_Territory
494,Night,Night,Territory
495,Night,Night,Mudflats_Territory
496,Night,Night,Mudflats_Territory
497,Night,Night,Territory
498,Night,Night,Mudflats_Territory
501,Night,Twilight,Mudflats_Territory
504,Night,Twilight,Mudflats_Territory
506,Night,Twilight,Mudflats_Territory
510,Day,Twilight,Mudflats_Territory
511,Day,Twilight,Mudflats_Territory
513,Day,Day,Mudflats_Territory
515,Day,Day,Mudflats_Territory
516,Day,Day,Mudflats_Territory
517,Day,Day,Mudflats_Territory
518,Day,Day,Mudflats_Territory
519,Day,Day,Mudflats_Territory
520,Day,Day,Mudflats_Territory
522,Day,Day,Mudflats_Territory
523,Day,Day,Mudflats_Territory
524,Day,Day,Mudflats_Territory
526,Day,Day,Mudflats_Territory
527,Day,Day,Mudflats_Territory
528,Day,Day,Mudflats_Territory
529,Day,Day,Mudflats_Territory
531,Day,Day,Mudflats_Territory
534,Day,Day,Mudflats_Territory
537,Day,Day,Mudflats_Territory
538,Day,Day,Mudflats_Territory
539,Day,Day,Mudflats_Territory
540,Day,Day,Mudflats_Territory
544,Day,Day,Mudflats_Territory
546,Day,Day,Mudflats_Territory
547,Day,Day,Mudflats_Territory
548,Day,Day,Mudflats_Territory
549,Day,Day,Mudflats_Territory
550,Day,Day,Mudflats_Territory
551,Day,Day,Mudflats_Territory
552,Day,Day,Mudflats_Territory
555,Day,Day,Mudflats_Territory
556,Day,Day,Mudflats_Territory
557,Day,Day,Mudflats_Territory
559,Day,Day,Mudflats_Territory
561,Day,Day,Mudflats_Territory
562,Day,Day,Mudflats_Territory
564,Day,Day,Mudflats_Territory
565,Day,Day,Mudflats_Territory
568,Day,Day,Mudflats_Territory
572,Day,Day,Mudflats_Territory
575,Day,Day,Mudflats
576,Day,Day,Mudflats
578,Day,Day,Mudflats
579,Day,Day,Mudflats
580,Day,Day,Mudflats
581,Day,Day,Mudflats
583,Day,Day,Mudflats
584,Day,Day,Mudflats
585,Day,Day,Mudflats
587,Day,Day,Mudflats
588,Day,Day,Mudflats
589,Day,Day,Mudflats
