obsID,birdID,date_time,latitude,longitude,speed
8643,167,11-Jul-09,53.4766474,6.2232306,0.036055513
8644,167,11-Jul-09,53.4764818,6.2228654,0.183575598
8645,167,11-Jul-09,53.4758386,6.2235022,0.03
8646,167,11-Jul-09,53.4762265,6.2230464,0.06
8647,167,11-Jul-09,53.4762668,6.2230479,0.141774469
8648,167,11-Jul-09,53.4705587,6.2215102,0.106770783
8649,167,11-Jul-09,53.4696328,6.2203278,0.298328678
8650,167,11-Jul-09,53.4692455,6.2202271,0.449888875
8651,167,11-Jul-09,53.4681959,6.2213377,0.178044938
8652,167,11-Jul-09,53.4688092,6.2220999,0.200997512
8653,167,11-Jul-09,53.4764979,6.2231686,0.083666003
8654,167,11-Jul-09,53.4765251,6.2231546,0.065574385
8655,167,11-Jul-09,53.4764954,6.2231794,0.09
8656,167,11-Jul-09,53.4761696,6.223121,0.046904158
8657,167,11-Jul-09,53.4758834,6.2234541,0.143527001
8658,167,11-Jul-09,53.4760383,6.2238142,0.2310844
8659,167,11-Jul-09,53.4762355,6.2230374,0.194422221
8660,167,11-Jul-09,53.476099,6.2229904,0.087749644
8661,167,11-Jul-09,53.4757068,6.2237187,0.024494897
8662,167,11-Jul-09,53.4757198,6.2237649,0.137477271
8663,167,11-Jul-09,53.4767834,6.2233594,0.163401346
8664,167,11-Jul-09,53.4768285,6.2233743,0.126885775
8665,167,11-Jul-09,53.4765142,6.2231586,0.050990195
8666,167,11-Jul-09,53.4765124,6.2231589,0.111803399
8667,167,11-Jul-09,53.4757126,6.2237824,0.325269119
8668,167,11-Jul-09,53.476012,6.2232145,0.136014705
8669,167,11-Jul-09,53.4767009,6.2232915,0.444297198
8670,167,11-Jul-09,53.4767739,6.2232602,0
8671,167,11-Jul-09,53.4768014,6.2232008,0.28618176
8672,167,11-Jul-09,53.4767453,6.2232974,0.01
8673,167,11-Jul-09,53.4767606,6.223299,0.041231056
8674,167,11-Jul-09,53.4767626,6.2232484,0.18547237
8675,167,11-Jul-09,53.4767582,6.2232022,0.014142136
8676,167,11-Jul-09,53.4767799,6.2232026,0.287576077
8677,167,11-Jul-09,53.4767641,6.2231812,0.041231056
8678,167,11-Jul-09,53.476765,6.2232147,0.189208879
8679,167,11-Jul-09,53.4767121,6.2230409,0.01
8680,167,11-Jul-09,53.4767104,6.2230814,0
8681,167,11-Jul-09,53.4768074,6.2232378,0.02236068
8682,167,11-Jul-09,53.4768107,6.2232465,0.131529464
8683,167,11-Jul-09,53.4767854,6.2232651,0.602992537
8684,167,11-Jul-09,53.4767795,6.2232683,0.262678511
8685,167,11-Jul-09,53.4767353,6.2232687,0.110905365
8686,167,11-Jul-09,53.4767593,6.2232889,0.10198039
8687,167,11-Jul-09,53.4767057,6.2233029,0.081240384
8688,167,11-Jul-09,53.4767936,6.2233683,0.322800248
8689,167,11-Jul-09,53.4768044,6.2232928,0
8690,167,11-Jul-09,53.4767359,6.2232578,0.088317609
8691,167,11-Jul-09,53.4767464,6.2232465,0.014142136
8692,167,11-Jul-09,53.4767566,6.2232484,
8693,167,11-Jul-09,53.4766942,6.2232901,0.03
8694,167,11-Jul-09,53.4767513,6.2232214,0.136381817
8695,167,11-Jul-09,53.4767362,6.2232264,0.090553851
8696,167,11-Jul-09,53.476747,6.2232102,0.046904158
8697,167,11-Jul-09,53.476738,6.2232207,0.094339811
8698,167,11-Jul-09,53.4767418,6.2232491,0
8699,167,11-Jul-09,53.4766649,6.222785,0.109544512
8700,167,11-Jul-09,53.4762979,6.2230688,0.244948974
8701,167,11-Jul-09,53.476688,6.2227146,0.412431813
8702,167,11-Jul-09,53.4766876,6.2228209,0.690362224
8703,167,11-Jul-09,53.4768885,6.223262,0.238746728
8704,167,11-Jul-09,53.4755013,6.2238012,0.143527001
8705,167,11-Jul-09,53.4758066,6.2237815,0.081240384
8706,167,11-Jul-09,53.4760561,6.2233917,0.130384048
8707,167,11-Jul-09,53.4760642,6.2233934,0.098488578
8708,167,11-Jul-09,53.4760434,6.2233742,0
8709,167,11-Jul-09,53.4764434,6.223761,0.3082207
8710,167,11-Jul-09,53.4764079,6.2238163,0.05
8711,167,11-Jul-09,53.4763903,6.2238645,0.436004587
8712,167,11-Jul-09,53.4763866,6.2238418,0.104880885
8713,167,11-Jul-09,53.4763666,6.2237806,0.247386338
8714,167,11-Jul-09,53.4763486,6.22381,0.175499288
8715,167,11-Jul-09,53.476362,6.2237988,0.246170673
8716,167,11-Jul-09,53.4763684,6.2238311,0.816455755
8717,167,11-Jul-09,53.4763561,6.223852,0.332565783
8718,167,11-Jul-09,53.4763626,6.2238133,0.107238053
8719,167,11-Jul-09,53.4763707,6.2237789,0.053851648
8720,167,11-Jul-09,53.4763615,6.2237799,0.150665192
8721,167,11-Jul-09,53.4763671,6.2237635,0.27202941
8722,167,11-Jul-09,53.4763803,6.2236807,0.261725047
8723,167,11-Jul-09,53.4763433,6.2236605,0.489285193
8724,167,11-Jul-09,53.4763308,6.2235873,0.600749532
8725,167,11-Jul-09,53.4763091,6.2235928,0.301496269
8726,167,11-Jul-09,53.4763095,6.2235571,0.328329103
8727,167,11-Jul-09,53.4763159,6.2235413,0.150996689
8728,167,11-Jul-09,53.4762878,6.2235286,0.292745623
8729,167,11-Jul-09,53.4763378,6.2234966,0.17
8730,167,11-Jul-09,53.4762814,6.2234816,0.382883794
8731,167,11-Jul-09,53.4762931,6.2234287,0.198242276
8732,167,11-Jul-09,53.4762504,6.2234142,0.228035085
8733,167,11-Jul-09,53.476234,6.2234787,0.313209195
8734,167,11-Jul-09,53.4762077,6.2235369,0.347706773
